_r;_RAJ2000;_DEJ2000;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;FG;e_FG;Gmag;e_Gmag;FBP;e_FBP;BPmag;e_BPmag;FRP;e_FRP;RPmag;e_RPmag;BP-RP;RVDR2;e_RVDR2;Tefftemp;loggtemp;PS1;SDSSDR13;SkyMapper2;URAT1;GmagCorr;e_GmagCorr;FGCorr;RAJ2000;DEJ2000
0.0352;305.942271364088;38.4869766758509;305.94225359198;0.3563;38.48695065363;0.3908;2.06113037557946E+018;1.2775;0.4669;6.639;-3.13;0.498;-5.855;0.559;1.018;149.83;0.77158;20.248373;0.006233;47.873;9.0334;21.138313;0.204892;194.62;9.2919;19.024916;0.051974;2.113398;       ;     ;      ;    ;1.54183059420785E+017;                   ;         ;         ;20.23758;0.006184;151.33;305.94227136131;38.48697667781
0.1764;305.9392746743;38.48737850525;305.9392746743;2.2253;38.48737850525;2.2828;2.0611303755818E+018;          ;       ;         ;         ;      ;         ;      ;        ;75.312;1.3846;20.99521;0.020151;20.689;2.5366;22.049177;0.133143;96.347;8.9025;19.788294;0.100393;2.260883;       ;     ;      ;    ;1.54183059392546E+017;                   ;         ;         ;20.99521;0.020151;75.312;305.9392746743;38.48737850525
0.2936;305.948676045787;38.4890805442639;305.94866470651;0.055;38.48907093982;0.0603;2.06112961966522E+018;0.5316;0.0721;2.943;-1.997;0.077;-2.161;0.081;0.961;1972.1;1.7087;17.450064;0.002911;560.75;10.618;18.466616;0.020747;2033.2;12.988;16.477451;0.007899;1.989164;       ;     ;      ;    ;1.54183059486698E+017;                   ;         ;643418600;17.450064;0.002911;1972.1;305.94867604418;38.48908054627
0.3411;305.93695477828;38.49015196626;305.93695477828;1.5843;38.49015196626;3.4125;2.06113037987691E+018;          ;       ;         ;         ;      ;         ;      ;        ;71.68;1.4798;21.04887;0.022583;51.341;46.813;21.062378;0.989978;78.672;13.118;20.008347;0.181083;1.054031;       ;     ;      ;    ;1.54183059369969E+017;                   ;         ;         ;21.04887;0.022583;71.68;305.93695477828;38.49015196626
0.4437;305.937493498335;38.4810303817412;305.93747092451;0.2818;38.48100472841;0.3349;2.06113037558052E+018;1.0906;0.3791;7.009;-3.976;0.419;-5.772;0.503;1.022;210.14;0.78794;19.881117;0.004916;46.953;6.2723;21.159374;0.145065;255.99;12.483;18.727325;0.053078;2.432049;       ;     ;      ;    ;1.54173059374728E+017;                   ;         ;643418555;19.864655;0.004865;213.35;305.93749349716;38.4810303827
0.4728;305.937013466931;38.4806990793905;305.93699343105;0.3838;38.48067653717;0.4563;2.06113037987372E+018;0.1984;0.5276;6.179;-3.529;0.55;-5.072;0.815;1.052;158.38;0.91074;20.188097;0.006824;44.209;4.0517;21.224754;0.099545;286.03;103.23;18.606882;0.391875;2.617872;       ;     ;      ;    ;1.54173059370138E+017;                   ;         ;         ;20.168415;0.006722;161.28;305.93701346498;38.48069907924
0.4772;305.951025008183;38.4919225631521;305.95100826832;0.0531;38.49189634982;0.0636;2.0611300019232E+018;0.11;0.0732;6.593;-2.948;0.072;-5.898;0.08;0.994;2575.2;2.7653;17.160337;0.002992;132.32;13.76;20.034458;0.112939;4192.5;11.932;15.691723;0.004882;4.342735;       ;     ;      ;    ;1.54193059510161E+017;                   ;         ;643418615;17.160337;0.002992;2575.2;305.95102500572;38.49192256302
0.4795;305.933314370441;38.4895749226634;305.93333664032;0.2721;38.48957896711;0.2896;2.06113037557946E+018;1.0551;0.3509;4.026;3.922;0.382;0.91;0.377;1;197.94;0.79301;19.946054;0.005149;39.473;4.8;21.347794;0.132058;262.92;7.9539;18.698357;0.033063;2.649437;       ;     ;      ;    ;1.54183059332958E+017;                   ;         ;         ;19.925841;0.005082;201.66;305.93331437227;38.48957492432
0.4827;305.93511144176;38.48184405053;305.93511144176;1.453;38.48184405053;1.5848;2.06113037987692E+018;          ;       ;         ;         ;      ;         ;      ;        ;75.429;1.2458;20.993517;0.018143;6.101;2.2303;23.37504;0.396911;69.542;8.966;20.142282;0.140034;3.232758;       ;     ;      ;    ;1.54173059350999E+017;                   ;         ;         ;20.993517;0.018143;75.429;305.93511144176;38.48184405053
0.5063;305.950869998898;38.4928099914929;305.95085109534;0.1327;38.49278386705;0.1412;2.06112999762395E+018;0.56;0.1769;6.755;-3.329;0.186;-5.878;0.188;1.061;564.86;1.4051;18.80752;0.003858;80.194;14.323;20.578194;0.193933;738.51;12.719;17.577;0.019078;3.001194;       ;     ;      ;    ;1.54193059508442E+017;                   ;         ;         ;18.80752;0.003858;564.86;305.95086999811;38.49280998929
0.5653;305.953647293695;38.4826027906629;305.95362833036;0.0375;38.48257654622;0.0415;2.06112962396608E+018;0.6035;0.05;6.784;-3.34;0.05;-5.905;0.053;1.016;3351;3.9581;16.874435;0.003039;852.47;10.364;18.01184;0.013491;3702.6;18.163;15.826641;0.006531;2.1852;       ;     ;      ;    ;1.5417305953647E+017;                   ;         ;643418623;16.874435;0.003039;3351;305.95364729248;38.48260279273
0.5826;305.94776674636;38.47803504149;305.94776674636;2.8775;38.47803504149;4.3421;2.06112962396266E+018;          ;       ;         ;         ;      ;         ;      ;        ;72.721;1.624;21.033218;0.024402;46.129;11.043;21.178608;0.259934;91.65;22.622;19.842571;0.268019;1.336037;       ;     ;      ;    ;1.54173059477314E+017;                   ;         ;         ;21.033218;0.024402;72.721;305.94776674636;38.47803504149
0.5916;305.935882833894;38.4951508339189;305.93585994332;0.2554;38.49512400281;0.2871;2.06113037558118E+018;0.3311;0.342;7.259;-4.031;0.362;-6.037;0.392;1.045;212.45;0.78785;19.869223;0.004879;53.788;8.7741;21.01183;0.177131;279.49;6.3053;18.631964;0.024784;2.379866;       ;     ;      ;    ;1.54193059358675E+017;                   ;         ;         ;19.853686;0.004832;215.51;305.93588283435;38.49515083524
0.5983;305.933621350535;38.4938028590145;305.93366977702;0.3534;38.49378921458;0.3949;2.06113037558053E+018;1.0212;0.4678;9.064;8.528;0.497;-3.07;0.562;1.044;157.6;0.76569;20.19346;0.005951;44.038;4.8022;21.22897;0.118429;183.61;5.801;19.088139;0.03451;2.140831;       ;     ;      ;    ;1.54193059335813E+017;                   ;         ;         ;20.182182;0.005903;159.25;305.93362135232;38.49380286033
0.622;305.95089469509;38.49532415238;305.95089469509;1.4491;38.49532415238;1.2791;2.0611307578345E+018;          ;       ;         ;         ;      ;         ;      ;        ;80.576;1.2284;20.92185;0.01678;           ;           ;         ;         ;           ;           ;         ;         ;         ;       ;     ;      ;    ;1.54193059508905E+017;                   ;         ;         ;20.92185;0.01678;80.576;305.95089469509;38.49532415238
0.6302;305.95050500897;38.4957244795074;305.95049559372;0.0962;38.49571162173;0.1025;2.06113075782908E+018;0.3804;0.1322;3.335;-1.658;0.134;-2.893;0.137;0.956;843.55;1.162;18.372087;0.003135;86.954;7.2069;20.490314;0.090031;1172.6;11.386;17.075043;0.011199;3.415272;       ;     ;      ;    ;1.54193059505126E+017;                   ;         ;643418610;18.372087;0.003135;843.55;305.95050501075;38.49572447922
