_r;_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;objID;f_objID;Qual;e_RAJ2000;e_DEJ2000;Epoch;Ns;Nd;gmag;e_gmag;gKmag;e_gKmag;gFlags;rmag;e_rmag;rKmag;e_rKmag;rFlags;imag;e_imag;iKmag;e_iKmag;iFlags;zmag;e_zmag;zKmag;e_zKmag;zFlags;ymag;e_ymag;yKmag;e_yKmag;yFlags
0.0349;305.94225889;38.48696209;305.94225889;38.48696209;1.54183059420785E+017;503635968;60;0.0978;0.0688;55783.03645833;4;41;24.51;       ;       ;       ;16420;20.99;0.0381;21.183;0.0608;115000;19.5616;0.0222;19.7029;0.029;115000;18.8551;0.0549;19.0682;0.059;115000;18.2993;0.0372;18.2628;0.0927;115000
0.1226;305.94511192;38.48820008;305.94511192;38.48820008;1.54183059447416E+017;310452224;37;0.0157;0.0157;55041.97310185;0;3;        ;       ;       ;       ;0;       ;       ;       ;       ;0;17.9921;0.1944;17.6687;0.0595;16777496;       ;       ;       ;       ;0;       ;       ;       ;       ;0
0.177;305.93926286;38.48738186;305.93926286;38.48738186;1.54183059392546E+017;503635968;60;0.0134;0.0152;55546.77907407;4;34;21.52;       ;       ;       ;16420;22.9604;       ;       ;       ;118840;20.3423;0.0299;20.4618;0.121;115000;19.3018;0.0328;19.4499;0.0993;115000;18.6697;0.0568;18.6091;0.1092;115000
0.221;305.93830397;38.48722243;305.93830397;38.48722243;1.54183059383585E+017;436527104;52;0.0783;0.0668;55773.25146991;3;8;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.2488;0.0201;21.2669;0.2098;115256;20.0856;0.0193;19.7788;0.2531;115000;19.6653;0.0138;       ;       ;115000
0.2233;305.94715719;38.48519353;305.94715719;38.48519353;1.54183059472663E+017;436527104;52;0.0496;0.0699;55896.44858796;3;11;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.3779;0.0431;       ;       ;115000;20.6433;0.0471;       ;       ;115000;       ;       ;       ;       ;114720
0.2295;305.94039537;38.48376382;305.94039537;38.48376382;1.54183059402421E+017;436527104;52;0.0214;0.0269;55723.39314815;3;29;        ;       ;       ;       ;16416;21.7898;0.1854;21.7048;0.2821;16696;21.0597;0.1095;20.962;0.1094;115000;19.8597;0.0622;19.9986;0.1199;115000;19.2473;0.0848;19.3935;0.1838;115000
0.2803;305.94478158;38.48254096;305.94478158;38.48254096;1.5417305944892E+017;503635968;60;0.0285;0.0309;54992.52766204;2;18;27.485;       ;       ;       ;16420;23.541;       ;       ;       ;16420;21.041;       ;       ;       ;16420;20.6086;0.0982;21.0837;0.3048;115000;19.1745;0.0631;19.2729;0.1199;115000
0.2836;305.93907784;38.49059492;305.93907784;38.49059492;1.54183059390929E+017;444915712;53;0.0936;0.0817;55674.4081713;2;8;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.5577;0.1354;       ;       ;16892216;19.3275;0.1638;18.67;0.0421;16892216
0.2938;305.94866737;38.48907528;305.94866737;38.48907528;1.54183059486698E+017;503635968;60;0.0092;0.0122;55840.23181713;5;59;18.8475;0.0142;18.8954;0.0168;115000;17.5841;0.0052;17.6494;0.0079;115000;16.9103;0.0048;16.9602;0.0071;115000;16.5255;0.0062;16.5933;0.0092;115000;16.2415;0.0058;16.3197;0.0295;115000
0.2985;305.93674517;38.48611242;305.93674517;38.48611242;1.54183059368084E+017;436363264;52;0.0729;0.0729;55834.66685185;3;6;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.972;0.2021;       ;       ;115248;20.9506;0.043;20.997;0.042;115000;19.6483;0.1008;       ;       ;115000
0.3139;305.94357028;38.49221216;305.94357028;38.49221216;1.54193059436341E+017;444915712;53;0.0261;0.0381;55942.38344907;3;19;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.6748;0.0764;19.6453;0.1818;16892216;20.0533;0.1026;       ;       ;115000;18.9891;0.0951;18.2212;0.1183;16892216
0.3208;305.94813684;38.49052476;305.94813684;38.49052476;1.54183059480969E+017;512024576;61;0.0571;0.058;54491.22890046;2;7;28.01;       ;       ;       ;16420;24.068;       ;       ;       ;16420;21.569;       ;       ;       ;16420;20.8109;0.0814;20.6373;0.326;114992;19.27;0.1285;       ;       ;16892216
0.3409;305.93695995;38.49015136;305.93695995;38.49015136;1.54183059369969E+017;436527104;52;0.0441;0.0316;55774.68615741;4;27;21.6564;0.1401;21.3285;0.1555;16794168;21.2402;0.1345;21.3603;0.296;115256;20.5947;0.0197;20.7133;0.1333;115000;19.4191;0.0232;19.6128;0.1854;115000;18.6899;0.0396;18.7286;0.174;115000
0.342;305.9465502;38.48202327;305.9465502;38.48202327;1.54173059464259E+017;436527104;52;0.0803;0.0572;55713.18811343;3;12;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.3982;0.0265;       ;       ;115000;20.5289;0.0051;20.8443;0.2181;115000;19.4405;0.1164;       ;       ;115000
0.4021;305.95147672;38.48605998;305.95147672;38.48605998;1.54183059514914E+017;436527104;52;0.2512;0.1536;55731.19626157;3;14;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.3726;0.1038;21.5231;0.2075;115000;20.713;0.0258;       ;       ;115000;19.5402;0.0277;19.6465;0.2001;115000
0.4266;305.94427227;38.49403986;305.94427227;38.49403986;1.54193059442644E+017;310456320;37;0.0459;0.0459;55696.61303241;0;3;        ;       ;       ;       ;0;       ;       ;19.858;0.1854;16;       ;       ;       ;       ;0;19.3556;0.0434;18.6517;0.052;16778256;       ;       ;       ;       ;0
0.4379;305.94334105;38.49429409;305.94334105;38.49429409;1.54193059432594E+017;310456320;37;0.0205;0.0205;55021.77150463;0;3;        ;       ;       ;       ;0;19.9763;0.0548;19.3569;0.0521;16778256;18.5066;0.1993;19.023;0.0689;272;       ;       ;       ;       ;0;       ;       ;       ;       ;0
0.4438;305.93746913;38.48100219;305.93746913;38.48100219;1.54173059374728E+017;436527104;52;0.0648;0.0707;56017.5703125;5;32;21.6023;0.1937;       ;       ;115000;20.0607;0.03;20.0204;0.0355;16892216;19.2252;0.0006;18.9826;0.0234;16892216;18.6452;0.0238;18.8547;0.0448;115000;18.339;0.0198;18.514;0.0392;115000
0.4665;305.93708796;38.48075315;305.93708796;38.48075315;1.54173059370138E+017;503635968;60;0.0866;0.0829;55749.97270833;3;33;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;19.1014;0.0469;18.9513;0.0194;16892216;18.5621;0.0293;18.067;0.0266;16892216;18.0062;0.0481;18.0166;0.1217;16892216
0.4776;305.95100836;38.49190558;305.95100836;38.49190558;1.54193059510161E+017;1174724608;140;0.0136;0.0087;55788.0521412;5;52;21.0239;0.2377;19.2358;0;16793912;18.4113;0.0196;18.3937;0.0254;16793912;16.6479;0.0166;16.7077;0.0397;16696;15.4489;0.003;15.4854;0.0296;98616;14.63;0.0035;14.6354;0.0049;16696
0.4796;305.93333464;38.48957772;305.93333464;38.48957772;1.54183059332958E+017;503635968;60;0.0101;0.0538;55703.43016204;5;52;22.0424;0.0327;22.213;0.2516;115000;20.3869;0.0266;20.7266;0.0677;115000;19.3016;0.0383;19.3937;0.0854;115000;18.6583;0.0201;18.5752;0.0625;115000;18.2432;0.0317;18.3487;0.0478;115000
0.4824;305.93511363;38.48184939;305.93511363;38.48184939;1.54173059350999E+017;436527104;52;0.0158;0.0526;55823.06987269;3;39;        ;       ;       ;       ;16416;21.7808;0.2689;       ;       ;115000;20.2261;0.0692;20.4335;0.1289;115000;19.4588;0.0729;19.7865;0.0676;115000;18.7378;0.0326;18.7813;0.0447;16696
0.5001;305.9492894;38.48027523;305.9492894;38.48027523;1.54173059491487E+017;503635968;60;0.0198;0.0206;55447.59959491;3;26;26.44;       ;       ;       ;16420;22.496;       ;       ;       ;16420;21.8506;0.1839;       ;       ;115000;19.8526;0.0272;20.5442;0;115000;18.4089;0.0332;18.7093;0.0796;115000
0.5064;305.95085202;38.49278456;305.95085202;38.49278456;1.54193059508442E+017;444915712;53;0.0183;0.0291;55866.80288194;5;51;20.6227;0.0409;20.0096;0.146;16892216;19.2477;0.0128;19.066;0.0241;16892216;18.1003;0.0139;17.5662;0.0993;16892216;17.4227;0.0173;17.5445;0.0401;115000;16.9326;0.0053;16.9746;0.0735;16892216
0.5625;305.9353701;38.49422641;305.9353701;38.49422641;1.54193059354114E+017;436281344;52;0.0468;0.0468;55593.86207176;1;3;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;16416;19.9849;0.0552;19.8408;0.1156;115000;       ;       ;       ;       ;16416
0.5654;305.95363083;38.48257982;305.95363083;38.48257982;1.5417305953647E+017;503635968;60;0.0133;0.0432;55956.43515046;5;48;18.5794;0.0108;18.6621;0.0119;115000;17.114;0.003;17.18;0.0076;115000;16.3107;0.0036;16.407;0.0192;115000;15.832;0.0134;15.9262;0.0078;115000;15.5413;0.0013;15.6219;0.0105;115000
0.5698;305.94776236;38.49573535;305.94776236;38.49573535;1.54193059477686E+017;512024576;61;0.0177;0.0183;55785.610625;2;25;25.652;       ;       ;       ;16420;22.482;       ;       ;       ;16420;20.2221;0.261;       ;       ;16793912;19.0359;0.0446;18.5616;0.0714;16892216;17.9646;0.0203;17.7402;0.1681;115000
0.582;305.94776133;38.47804385;305.94776133;38.47804385;1.54173059477314E+017;436527104;52;0.0213;0.0231;55774.06859954;3;30;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.4435;0.0307;20.6908;0.066;115000;19.6359;0.0306;19.6509;0.0033;115000;19.0043;0.0551;19.0249;0.1521;115000
0.5921;305.93586819;38.49513701;305.93586819;38.49513701;1.54193059358675E+017;512024576;61;0.0184;0.0385;55720.34398148;4;42;21.996;0.1502;21.5682;0.148;16793912;20.2055;0.4586;17.1283;0.0406;16892216;18.9787;0.0355;16.4278;0;16892216;18.348;0.0197;18.0209;0.144;115000;17.8408;0.0502;17.7549;0.0034;16892216
0.5962;305.95261086;38.4805093;305.95261086;38.4805093;1.54173059527527E+017;436527104;52;0.0373;0.0335;55852.03112269;3;27;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.0294;0.1224;21.379;0.1982;115000;19.8151;0.0273;20.092;0.0429;115000;19.2642;0.0605;19.6249;0.0295;115000
0.5986;305.93367046;38.49379749;305.93367046;38.49379749;1.54193059335813E+017;436527104;52;0.0203;0.0611;55689.48561343;5;38;22.1549;0.0164;       ;       ;16892216;20.6627;0.0554;20.3766;0.2853;115000;19.4186;0.03;19.2513;0.1017;115000;18.8394;0.0167;18.9366;0.0423;115000;18.5731;0.0343;18.723;0.1135;115000
0.6135;305.93656051;38.49589552;305.93656051;38.49589552;1.54193059365086E+017;436285440;52;0.0332;0.0332;56021.30542824;1;3;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;       ;       ;       ;       ;16416;19.5366;0.0516;       ;       ;114992;18.0819;0.0395;       ;       ;17464
0.6213;305.95090156;38.49530623;305.95090156;38.49530623;1.54193059508905E+017;436527104;52;0.0236;0.0337;55855.40856481;3;9;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.0827;0.0539;19.9496;0.0926;16892216;19.21;0.0145;19.2124;0.0494;16892216;18.7216;0.0786;19.0678;0.1738;115000
0.6302;305.95049576;38.49571226;305.95049576;38.49571226;1.54193059505126E+017;503635968;60;0.0168;0.0137;55884.28126157;5;51;20.3361;0.068;19.1143;0.1384;16892216;18.9994;0.0151;18.6756;0.0394;16892216;17.7545;0.0077;17.7762;0.0285;115000;16.9079;0.0169;16.9855;0.0022;115000;16.2374;0.0086;16.2963;0.084;115000
0.6412;305.93055829;38.491399;305.93055829;38.491399;1.5419305930548E+017;310456320;37;0.0357;0.0357;55029.53768519;0;3;        ;       ;       ;       ;0;19.3598;0.0324;18.1193;0.0177;16777488;       ;       ;       ;       ;0;       ;       ;       ;       ;0;       ;       ;       ;       ;0
0.6465;305.94667425;38.49738447;305.94667425;38.49738447;1.54193059466497E+017;310534144;37;0.0243;0.0243;55817.20815972;0;4;        ;       ;       ;       ;0;       ;       ;       ;       ;0;19.6818;0.0881;       ;       ;280;19.3804;0.0773;17.6911;0.0822;16777496;       ;       ;       ;       ;0
0.6511;305.9291422;38.48732041;305.9291422;38.48732041;1.54183059291505E+017;503635968;60;0.0082;0.0077;55826.38649306;5;62;18.3762;0.0119;18.4906;0.0128;115000;16.822;0.0042;16.9226;0.0072;115000;16.0699;0.0074;16.1374;0.0136;115000;15.5764;0.0054;15.6398;0.0096;115000;15.2266;0.0051;15.2797;0.0089;115000
0.6552;305.9347498;38.47819415;305.9347498;38.47819415;1.54173059347784E+017;436527104;52;0.0314;0.0348;55788.17365741;3;23;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;21.124;0.076;20.5313;0.1516;115000;20.1706;0.0995;20.1489;0.1582;115000;19.2711;0.061;19.3518;0.1008;16892216
0.6556;305.93715563;38.47707682;305.93715563;38.47707682;1.54173059371993E+017;377806848;45;0.0512;0.0486;55132.70739583;0;7;20.9612;0.0811;20.417;0.0596;16781336;23.909;       ;       ;       ;4;21.409;       ;       ;       ;4;18.9022;0.0023;       ;       ;280;18.0886;0.0449;17.2302;0.0433;16777496
0.6589;305.95701115;38.48643495;305.95701115;38.48643495;1.54183059570904E+017;436363264;52;0.0521;0.0521;55652.95274306;1;4;        ;       ;       ;       ;16416;       ;       ;       ;       ;16416;20.9937;0.0872;20.5393;0.1162;16793912;20.474;0.1109;20.114;0.1945;16794168;       ;       ;       ;       ;114720
0.661;305.93932539;38.47636547;305.93932539;38.47636547;1.54173059392622E+017;1141170176;136;0.0781;0.089;55573.16053241;4;56;12.118;       ;       ;       ;65572;11.821;       ;       ;       ;65572;11.668;       ;       ;       ;16420;11.545;       ;       ;       ;32804;11.6;       ;       ;       ;114724
0.6627;305.93873241;38.49752704;305.93873241;38.49752704;1.54193059387738E+017;512024576;61;0.0117;0.0326;55825.13592593;3;39;20.798;       ;       ;       ;16420;19.1198;0.0671;16.2819;0.0064;16793912;18.1441;0.0535;15.3446;0.0477;16892216;17.486;0.0374;15.3112;0.0053;16892216;16.8529;0.0847;14.4275;0.2168;16892216
0.6738;305.95211721;38.49567208;305.95211721;38.49567208;1.54193059520835E+017;302145536;36;0.0242;0.0242;55939.72369213;0;6;        ;       ;       ;       ;0;       ;       ;       ;       ;0;20.1111;0.0505;19.5505;0.0689;16777496;19.37;0.0536;19.6431;0.1057;280;19.0454;0.1043;18.9212;0.1875;280
0.6741;305.94481397;38.47585505;305.94481397;38.47585505;1.54173059447902E+017;503635968;60;0.0147;0.0524;55788.60033565;5;42;22.1414;0.0536;21.9052;0.127;115000;20.1521;0.0578;20.2263;0.0395;115000;18.7601;0.0182;18.7166;0.0162;16892216;17.8697;0.0128;17.837;0.0207;115000;17.2667;0.0154;17.2938;0.0182;115000
